Age,Career_Level,Employment_Status,Income,Financial_Status,Location,Housing,Food,Transportation,Dependents,Education_Cost,Total_Invested_Amount,Emergency_Fund,Tax,Monthly_Savings,Expected_ROI,Healthcare_Cost,Debt,Cost_of_Living,Inflation_Rate,Retirement_Age,Life_Expectancy,Savings_Rate,Desired_Expenses
22,Entry-Level,Employed,3677,Low Income,Urban,1838.5,350.76,294.16,1,4376.410612905765,406.83,10585.03,428.41,765.17,0.11855221647232406,147.08,1053.79,2630.5,2.96,65,80,665.55,1915.7
34,Late-Career,Employed,8323,Middle Income,Urban,4161.5,1304.77,665.84,0,0.0,827.99,31396.91,874.34,1316.55,0.07817638225830646,665.84,1964.6,6797.950000000001,2.16,65,81,1675.74,5167.91
22,Mid-Career,Employed,8640,Middle Income,Urban,4320.0,1725.6,691.2,1,1292.3538249912458,788.89,39880.39,806.65,1096.55,0.11914552122184639,345.6,3424.64,7082.400000000001,2.26,65,84,2004.54,3341.87
44,Mid-Career,Employed,9331,Middle Income,Urban,4665.5,1701.04,746.48,0,0.0,1766.61,40397.8,1363.81,854.17,0.054925805298672026,746.48,1320.29,7859.5,2.17,65,88,1282.53,5107.13
35,Entry-Level,Unemployed,4059,Middle Income,Suburban,1623.6,127.52,243.54,3,4397.906143434842,1096.05,8033.09,532.11,1532.23,0.0568159657682672,405.9,615.5,2400.56,2.33,65,85,873.35,2107.75
22,Entry-Level,Unemployed,4580,Middle Income,Suburban,1832.0,1154.63,274.8,0,0.0,148.94,19550.95,400.85,917.72,0.11585904446003678,229.0,1515.88,3490.4300000000003,3.21,65,83,778.01,2852.74
31,Entry-Level,Employed,4333,Middle Income,Urban,2166.5,713.92,346.64,3,2764.690136795672,437.63,9715.11,586.09,519.85,0.11639769177065917,346.64000000000004,780.74,3573.7,2.79,65,81,843.2,2318.93
25,Late-Career,Employed,17295,High Income,Suburban,6918.0,1922.77,1037.7,1,3030.055500574194,1383.75,30454.23,2394.49,5022.04,0.13472558817429875,691.8000000000001,4352.41,10570.27,1.93,65,89,4504.61,5885.28
38,Mid-Career,Employed,7289,Middle Income,Urban,3644.5,1150.62,583.12,2,-834.6977720205978,3155.99,29427.16,892.81,1017.95,0.06267521148108458,583.12,1709.04,5961.36,2.2,65,79,1637.42,3959.23
51,Mid-Career,Unemployed,2517,Low Income,Urban,1258.5,399.72,201.36,1,57.747189252963835,333.36,6691.49,382.49,274.93,0.056173586974450546,251.7,153.37,2111.2799999999997,2.69,65,87,575.9,1674.4
22,Entry-Level,Unemployed,3929,Low Income,Urban,1964.5,458.35,314.32,0,0.0,312.49,8710.52,488.51,703.32,0.06617227146373711,196.45,881.51,2933.62,2.05,65,85,664.76,3012.68
36,Late-Career,Employed,16038,High Income,Suburban,6415.2,2564.41,962.28,2,1525.9412776946058,7501.29,36898.77,1470.1,4626.01,0.059271053594839244,1283.04,2652.8,11224.93,2.14,65,78,4751.63,11135.45
33,Late-Career,Employed,16357,High Income,Urban,8178.5,1956.73,1308.56,2,5113.449822560837,97.91,48959.97,2082.3,2830.91,0.0578915136678457,1308.5600000000002,3170.61,12752.349999999999,3.17,65,86,3821.06,5081.12
